0,88,0,userpresence,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
0,88,0,istracked,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
0,88,0,istracked,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
1,36,0,triggertouched,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
1,51,0,triggertouched,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
2,68,0,triggertouched,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
3,28,0,triggertouched,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
11,55,0,grippressed,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
11,69,0,grippressed,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
62,53,0,istracked,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
62,53,0,istracked,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
63,40,0,istracked,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
63,40,0,istracked,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
74,06,0,press,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
74,06,0,leftButton,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
74,15,0,press,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
74,15,0,leftButton,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
75,80,1,anyKey,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
75,80,1,rightArrow,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
75,98,1,anyKey,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
75,98,1,rightArrow,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
89,14,0,anyKey,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
89,14,0,leftArrow,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
89,27,0,anyKey,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
89,27,0,leftArrow,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
91,31,0,anyKey,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
91,31,0,leftArrow,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
91,50,0,anyKey,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
91,50,0,leftArrow,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
96,66,1,anyKey,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
96,66,1,rightArrow,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
96,70,1,anyKey,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
96,70,1,rightArrow,False,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
104,19,1,grippressed,True,(-0.30, 1.02, 0.24),(0.00000, 0.20669, 0.00000, 0.97841),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
104,69,1,triggertouched,True,(-0.34, 1.05, 0.22),(0.00665, 0.14874, -0.01679, 0.98871),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
104,80,1,triggertouched,False,(-0.35, 1.06, 0.19),(0.03850, 0.14255, 0.01524, 0.98892),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
105,41,1,grippressed,False,(-0.36, 1.02, 0.04),(-0.01061, 0.05861, 0.00207, 0.99822),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
106,12,1,grippressed,True,(-0.36, 1.02, 0.04),(0.00000, 0.05858, 0.00000, 0.99828),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
110,71,1,grippressed,False,(-0.38, 1.10, -0.01),(0.03135, 0.03641, 0.00244, 0.99884),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
113,03,2,anyKey,True,(-0.38, 1.02, 0.00),(0.00000, 0.04229, 0.00000, 0.99911),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
113,03,2,rightArrow,True,(-0.38, 1.02, 0.00),(0.00000, 0.04229, 0.00000, 0.99911),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
113,14,2,anyKey,False,(-0.38, 1.02, 0.00),(0.00000, 0.04229, 0.00000, 0.99911),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
113,14,2,rightArrow,False,(-0.38, 1.02, 0.00),(0.00000, 0.04229, 0.00000, 0.99911),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
117,54,2,grippressed,True,(-0.38, 1.02, 0.00),(0.00000, 0.04229, 0.00000, 0.99911),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
124,99,2,grippressed,False,(-0.40, 1.11, -0.04),(0.04415, 0.00407, -0.00707, 0.99899),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
125,85,3,anyKey,True,(-0.39, 1.02, -0.04),(0.00001, -0.00659, -0.00001, 0.99998),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
125,85,3,rightArrow,True,(-0.39, 1.02, -0.04),(0.00001, -0.00659, -0.00001, 0.99998),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
125,98,3,anyKey,False,(-0.39, 1.02, -0.04),(0.00001, -0.00659, -0.00001, 0.99998),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
125,98,3,rightArrow,False,(-0.39, 1.02, -0.04),(0.00001, -0.00659, -0.00001, 0.99998),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
127,26,3,grippressed,True,(-0.39, 1.02, -0.04),(0.00001, -0.00659, -0.00001, 0.99998),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
130,85,3,grippressed,False,(-0.37, 1.08, -0.03),(0.06109, -0.02759, -0.06668, 0.99552),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
131,03,4,anyKey,True,(-0.38, 1.02, -0.04),(-0.00004, -0.03239, -0.00030, 0.99948),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
131,03,4,rightArrow,True,(-0.38, 1.02, -0.04),(-0.00004, -0.03239, -0.00030, 0.99948),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
131,16,4,anyKey,False,(-0.38, 1.02, -0.04),(0.00000, -0.03240, 0.00000, 0.99948),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
131,16,4,rightArrow,False,(-0.38, 1.02, -0.04),(0.00000, -0.03240, 0.00000, 0.99948),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
136,44,4,grippressed,True,(-0.38, 1.02, -0.04),(0.00000, -0.03240, 0.00000, 0.99948),(-0.30, 1.02, -0.26),(0.00000, 0.93240, 0.00000, 0.36143)
140,24,4,triggertouched,True,(-0.50, 1.05, 0.04),(0.01539, -0.01982, 0.00836, 0.99965),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
141,54,4,triggertouched,False,(-0.44, 1.05, -0.02),(-0.01147, -0.00654, -0.00194, 0.99991),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
141,57,4,grippressed,False,(-0.45, 1.06, -0.02),(0.00734, 0.00163, -0.01452, 0.99987),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
142,26,5,anyKey,True,(-0.47, 1.02, 0.01),(0.00000, -0.00451, 0.00000, 0.99999),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
142,26,5,rightArrow,True,(-0.47, 1.02, 0.01),(0.00000, -0.00451, 0.00000, 0.99999),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
142,39,5,anyKey,False,(-0.47, 1.02, 0.01),(0.00000, -0.00451, 0.00000, 0.99999),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
142,39,5,rightArrow,False,(-0.47, 1.02, 0.01),(0.00000, -0.00451, 0.00000, 0.99999),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
142,44,5,grippressed,True,(-0.47, 1.02, 0.01),(0.00000, -0.00451, 0.00000, 0.99999),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
143,47,5,grippressed,False,(-0.45, 1.02, 0.00),(0.00136, -0.01398, -0.03480, 0.99930),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
146,09,5,grippressed,True,(-0.45, 1.02, 0.00),(0.00000, -0.01237, 0.00000, 0.99992),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
150,34,5,grippressed,False,(-0.42, 1.03, -0.05),(0.02308, 0.00464, -0.08997, 0.99567),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
151,26,6,anyKey,True,(-0.43, 1.02, -0.06),(-0.00001, 0.00271, 0.00001, 1.00000),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
151,26,6,rightArrow,True,(-0.43, 1.02, -0.06),(-0.00001, 0.00271, 0.00001, 1.00000),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
151,41,6,anyKey,False,(-0.43, 1.02, -0.06),(-0.00001, 0.00271, 0.00001, 1.00000),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
151,41,6,rightArrow,False,(-0.43, 1.02, -0.06),(-0.00001, 0.00271, 0.00001, 1.00000),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
159,21,6,grippressed,True,(-0.43, 1.02, -0.06),(-0.00001, 0.00271, 0.00001, 1.00000),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
163,30,6,grippressed,False,(-0.43, 1.02, -0.06),(0.02101, 0.00391, -0.01114, 0.99971),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
163,79,6,grippressed,True,(-0.43, 1.02, -0.06),(0.00000, 0.00383, 0.00000, 0.99999),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
165,31,6,grippressed,False,(-0.41, 1.02, -0.05),(-0.01131, -0.03086, -0.00535, 0.99945),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
168,97,7,anyKey,True,(-0.41, 1.02, -0.05),(0.00000, -0.03091, 0.00000, 0.99952),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
168,97,7,rightArrow,True,(-0.41, 1.02, -0.05),(0.00000, -0.03091, 0.00000, 0.99952),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
169,08,7,anyKey,False,(-0.41, 1.02, -0.05),(0.00000, -0.03091, 0.00000, 0.99952),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
169,08,7,rightArrow,False,(-0.41, 1.02, -0.05),(0.00000, -0.03091, 0.00000, 0.99952),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
172,53,7,grippressed,True,(-0.41, 1.02, -0.05),(0.00000, -0.03091, 0.00000, 0.99952),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
172,60,7,grippressed,True,(-0.42, 1.02, -0.05),(-0.00043, -0.03155, 0.00495, 0.99949),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
173,10,7,grippressed,False,(-0.43, 1.05, -0.06),(0.10737, 0.02765, 0.16990, 0.97920),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
173,57,7,grippressed,False,(-0.41, 1.02, -0.08),(0.00000, 0.03263, 0.00000, 0.99947),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
173,92,7,grippressed,True,(-0.41, 1.02, -0.08),(0.00000, 0.03263, 0.00000, 0.99947),(-0.22, 1.02, -0.41),(0.00000, 0.95609, 0.00000, 0.29309)
